region,country,item_type,sales_channel,order_priority,order_date,order_id,ship_date,units_sold,unit_price,unit_cost,total_revenue,total_cost,total_profit
South America,Brazil,Household,Online,M,06-02-2011,344684678,16-02-2011,4860,668.27,502.54,3247792.2,2442344.4,805447.8
Australia and Oceania,New Zealand,Cereal,Online,H,02-12-2013,502140200,08-12-2013,4940,205.7,117.11,1016158,578523.4,437634.6
Asia,Singapore,Beverages,Online,C,11-12-2012,910689194,15-12-2012,1578,47.45,31.79,74876.1,50164.62,24711.48
South America,Brazil,Personal Care,Online,M,27-11-2014,724399053,28-11-2014,2858,81.73,56.67,233584.34,161962.86,71621.48
South America,Argentina,Beverages,Online,C,23-03-2015,298305680,27-03-2015,2380,47.45,31.79,112931,75660.2,37270.8
North America,Canada,Household,Online,H,22-06-2016,997959616,24-06-2016,7388,668.27,502.54,4937178.76,3712765.52,1224413.24
Australia and Oceania,Fiji,Personal Care,Offline,L,20-06-2012,476818081,28-06-2012,2779,81.73,56.67,227127.67,157485.93,69641.74
Europe,Spain,Beverages,Offline,M,25-07-2015,135295653,04-08-2015,2480,47.45,31.79,117676,78839.2,38836.8
Asia,India,Clothes,Online,L,01-12-2015,687658926,05-12-2015,5413,109.28,35.84,591532.64,194001.92,397530.72
Asia,Japan,Personal Care,Offline,M,10-10-2013,245550989,20-10-2013,8202,81.73,56.67,670349.46,464807.34,205542.12
Europe,France,Clothes,Offline,C,05-07-2013,625653924,11-07-2013,5831,109.28,35.84,637211.68,208983.04,428228.64
Asia,Singapore,Fruits,Online,H,20-03-2017,225939103,24-03-2017,9283,9.33,6.92,86610.39,64238.36,22372.03
Europe,Italy,Personal Care,Online,H,15-08-2017,322022274,23-08-2017,4252,81.73,56.67,347515.96,240960.84,106555.12
Africa,Kenya,Snacks,Offline,M,02-06-2012,173019651,03-06-2012,2722,152.58,97.44,415322.76,265231.68,150091.08
Asia,Japan,Office Supplies,Offline,M,10-07-2016,530079487,17-07-2016,7007,651.21,524.96,4563028.47,3678394.72,884633.75
Europe,France,Office Supplies,Offline,L,19-06-2015,487184894,24-06-2015,1050,651.21,524.96,683770.5,551208,132562.5
Australia and Oceania,Australia,Snacks,Offline,L,05-12-2010,515738533,15-12-2010,1284,152.58,97.44,195912.72,125112.96,70799.76
Asia,India,Beverages,Offline,H,22-12-2014,402594645,25-12-2014,5835,47.45,31.79,276870.75,185494.65,91376.1
Africa,Libya,Vegetables,Offline,M,09-03-2012,681232811,12-03-2012,3057,154.06,90.93,470961.42,277973.01,192988.41
North America,United States,Cosmetics,Offline,L,01-05-2017,925944981,11-05-2017,260,437.2,263.33,113672,68465.8,45206.2
Australia and Oceania,Fiji,Office Supplies,Online,H,24-05-2013,200869636,01-06-2013,717,651.21,524.96,466917.57,376396.32,90521.25
North America,Mexico,Baby Food,Online,L,14-11-2013,577608149,21-11-2013,3523,255.28,159.42,899351.44,561636.66,337714.78
Australia and Oceania,New Zealand,Snacks,Offline,M,22-09-2012,227950865,01-10-2012,6597,152.58,97.44,1006570.26,642811.68,363758.58
Australia and Oceania,New Zealand,Cereal,Online,M,14-07-2011,866448255,22-07-2011,5836,205.7,117.11,1200465.2,683453.96,517011.24
North America,Mexico,Beverages,Online,L,10-09-2014,620020425,20-09-2014,4139,47.45,31.79,196395.55,131578.81,64816.74
South America,Chile,Household,Online,M,29-12-2015,114162206,30-12-2015,1936,668.27,502.54,1293770.72,972917.44,320853.28
Australia and Oceania,Fiji,Baby Food,Online,H,12-10-2011,886840809,13-10-2011,9768,255.28,159.42,2493575.04,1557214.56,936360.48
South America,Argentina,Fruits,Offline,M,02-10-2016,728435415,03-10-2016,9278,9.33,6.92,86563.74,64203.76,22359.98
Australia and Oceania,Australia,Fruits,Online,C,09-07-2016,734970159,15-07-2016,2652,9.33,6.92,24743.16,18351.84,6391.32
Australia and Oceania,Fiji,Personal Care,Offline,M,20-06-2016,894031464,29-06-2016,6777,81.73,56.67,553884.21,384052.59,169831.62
South America,Brazil,Office Supplies,Online,C,28-09-2013,460431816,07-10-2013,4084,651.21,524.96,2659541.64,2143936.64,515605
Australia and Oceania,Australia,Clothes,Offline,H,04-12-2013,588957295,12-12-2013,2555,109.28,35.84,279210.4,91571.2,187639.2
Africa,Kenya,Clothes,Offline,C,21-06-2013,477580431,27-06-2013,5025,109.28,35.84,549132,180096,369036
Africa,Nigeria,Vegetables,Online,C,22-01-2010,164216070,29-01-2010,837,154.06,90.93,128948.22,76108.41,52839.81
North America,Mexico,Personal Care,Online,L,01-04-2013,287780537,06-04-2013,963,81.73,56.67,78705.99,54573.21,24132.78
Australia and Oceania,New Zealand,Personal Care,Offline,H,20-12-2011,335699467,23-12-2011,4914,81.73,56.67,401621.22,278476.38,123144.84
Asia,China,Beverages,Online,L,17-06-2017,605430430,19-06-2017,4612,47.45,31.79,218839.4,146615.48,72223.92
Asia,Japan,Clothes,Offline,H,06-07-2010,257617711,09-07-2010,3662,109.28,35.84,400183.36,131246.08,268937.28
South America,Argentina,Household,Online,H,21-08-2014,125984377,25-08-2014,5553,668.27,502.54,3710903.31,2790604.62,920298.69
North America,United States,Cereal,Online,L,15-11-2010,654991403,24-11-2010,9170,205.7,117.11,1886269,1073898.7,812370.3
South America,Brazil,Snacks,Offline,C,31-08-2015,213378223,03-09-2015,4114,152.58,97.44,627714.12,400868.16,226845.96
Australia and Oceania,Fiji,Cosmetics,Offline,M,03-04-2011,807299053,12-04-2011,7805,437.2,263.33,3412346,2055290.65,1357055.35
Asia,Singapore,Personal Care,Offline,C,24-11-2012,209419106,30-11-2012,3844,81.73,56.67,314170.12,217839.48,96330.64
Europe,France,Beverages,Online,M,09-01-2013,269482083,11-01-2013,8974,47.45,31.79,425816.3,285283.46,140532.84
Europe,France,Household,Offline,H,24-03-2017,669324093,31-03-2017,4811,668.27,502.54,3215046.97,2417719.94,797327.03
North America,Canada,Beverages,Offline,C,17-05-2014,677012006,26-05-2014,5245,47.45,31.79,248875.25,166738.55,82136.7
Asia,India,Cereal,Offline,M,28-11-2010,862555773,06-12-2010,5824,205.7,117.11,1197996.8,682048.64,515948.16
Australia and Oceania,Australia,Baby Food,Offline,L,09-07-2010,253520750,10-07-2010,6339,255.28,159.42,1618219.92,1010563.38,607656.54
Europe,France,Snacks,Online,L,10-03-2010,382346533,20-03-2010,833,152.58,97.44,127099.14,81167.52,45931.62
South America,Chile,Clothes,Online,M,13-10-2011,107623365,23-10-2011,883,109.28,35.84,96494.24,31646.72,64847.52
Australia and Oceania,New Zealand,Cosmetics,Offline,H,28-09-2014,553044985,03-10-2014,6404,437.2,263.33,2799828.8,1686365.32,1113463.48
Europe,France,Beverages,Online,H,15-02-2015,340258488,16-02-2015,8281,47.45,31.79,392933.45,263252.99,129680.46
North America,United States,Vegetables,Online,H,12-05-2010,592211960,17-05-2010,6860,154.06,90.93,1056851.6,623779.8,433071.8
Australia and Oceania,New Zealand,Household,Offline,H,13-05-2010,420423166,22-05-2010,1689,668.27,502.54,1128708.03,848790.06,279917.97
Australia and Oceania,Fiji,Household,Online,L,02-01-2013,781923711,05-01-2013,2926,668.27,502.54,1955358.02,1470432.04,484925.98
South America,Brazil,Personal Care,Offline,M,11-07-2011,220135419,13-07-2011,4342,81.73,56.67,354871.66,246061.14,108810.52
South America,Chile,Cosmetics,Online,L,01-12-2012,161432114,07-12-2012,1098,437.2,263.33,480045.6,289136.34,190909.26
Africa,Egypt,Personal Care,Online,H,05-09-2015,921650986,08-09-2015,9894,81.73,56.67,808636.62,560692.98,247943.64
Europe,Italy,Fruits,Offline,C,11-09-2016,273155390,14-09-2016,5268,9.33,6.92,49150.44,36454.56,12695.88
Europe,Spain,Fruits,Offline,M,31-05-2015,902122298,02-06-2015,3120,9.33,6.92,29109.6,21590.4,7519.2
North America,Mexico,Fruits,Offline,C,27-04-2013,371102482,05-05-2013,1678,9.33,6.92,15655.74,11611.76,4043.98
Australia and Oceania,Fiji,Snacks,Offline,C,14-02-2015,316377355,19-02-2015,5524,152.58,97.44,842851.92,538258.56,304593.36
Australia and Oceania,Australia,Cosmetics,Offline,L,29-07-2013,782132926,02-08-2013,3143,437.2,263.33,1374119.6,827646.19,546473.41
South America,Argentina,Snacks,Online,M,14-03-2014,168407639,17-03-2014,1868,152.58,97.44,285019.44,182017.92,103001.52
Australia and Oceania,Fiji,Vegetables,Offline,M,13-11-2011,481664601,16-11-2011,7599,154.06,90.93,1170701.94,690977.07,479724.87
Australia and Oceania,New Zealand,Vegetables,Offline,H,24-04-2014,931016452,02-05-2014,3149,154.06,90.93,485134.94,286338.57,198796.37
Australia and Oceania,New Zealand,Snacks,Online,M,09-10-2014,690810253,10-10-2014,3038,152.58,97.44,463538.04,296022.72,167515.32
South America,Argentina,Vegetables,Online,L,13-10-2016,853998676,17-10-2016,5951,154.06,90.93,916811.06,541124.43,375686.63
Africa,Libya,Beverages,Offline,H,22-01-2010,612773130,24-01-2010,7258,47.45,31.79,344392.1,230731.82,113660.28
South America,Brazil,Household,Online,H,28-08-2012,608286666,01-09-2012,6092,668.27,502.54,4071100.84,3061473.68,1009627.16
Africa,Nigeria,Cosmetics,Offline,L,29-05-2015,594524184,08-06-2015,2001,437.2,263.33,874837.2,526923.33,347913.87
Europe,France,Beverages,Online,C,26-03-2017,645559309,28-03-2017,463,47.45,31.79,21969.35,14718.77,7250.58
Australia and Oceania,Australia,Baby Food,Online,H,16-11-2010,964971015,19-11-2010,9534,255.28,159.42,2433839.52,1519910.28,913929.24
Europe,Germany,Fruits,Offline,L,15-05-2013,764566061,21-05-2013,6593,9.33,6.92,61512.69,45623.56,15889.13
Asia,India,Beverages,Online,H,21-01-2015,530404462,25-01-2015,5204,47.45,31.79,246929.8,165435.16,81494.64
Australia and Oceania,New Zealand,Personal Care,Online,M,15-05-2013,436448651,24-05-2013,3165,81.73,56.67,258675.45,179360.55,79314.9
North America,United States,Office Supplies,Offline,C,08-02-2011,194379974,09-02-2011,7775,651.21,524.96,5063157.75,4081564,981593.75
Europe,Germany,Personal Care,Offline,C,04-08-2016,201018444,05-08-2016,8875,81.73,56.67,725353.75,502946.25,222407.5
Australia and Oceania,New Zealand,Cereal,Online,C,29-05-2012,954361729,07-06-2012,9041,205.7,117.11,1859733.7,1058791.51,800942.19
South America,Chile,Household,Online,M,23-01-2013,608721681,31-01-2013,6696,668.27,502.54,4474735.92,3365007.84,1109728.08
Europe,France,Vegetables,Offline,H,26-08-2011,613448558,05-09-2011,5618,154.06,90.93,865509.08,510844.74,354664.34
Australia and Oceania,Australia,Beverages,Online,H,05-08-2014,142956638,12-08-2014,4773,47.45,31.79,226478.85,151733.67,74745.18
North America,United States,Beverages,Offline,H,14-05-2015,201513655,15-05-2015,233,47.45,31.79,11055.85,7407.07,3648.78
Australia and Oceania,Fiji,Household,Online,M,27-12-2014,833181277,01-01-2015,7740,668.27,502.54,5172409.8,3889659.6,1282750.2
Europe,Spain,Cereal,Online,M,16-09-2010,594112245,17-09-2010,322,205.7,117.11,66235.4,37709.42,28525.98
South America,Brazil,Personal Care,Offline,H,28-11-2016,957485721,03-12-2016,4516,81.73,56.67,369092.68,255921.72,113170.96
South America,Argentina,Snacks,Online,C,17-06-2011,132899673,18-06-2011,8165,152.58,97.44,1245815.7,795597.6,450218.1
South America,Chile,Cosmetics,Offline,M,31-01-2013,756610844,04-02-2013,8378,437.2,263.33,3662861.6,2206178.74,1456682.86
Asia,India,Fruits,Offline,L,24-02-2017,600534680,04-03-2017,8586,9.33,6.92,80107.38,59415.12,20692.26
North America,Canada,Fruits,Online,C,01-06-2012,915016744,06-06-2012,3363,9.33,6.92,31376.79,23271.96,8104.83
Asia,Singapore,Baby Food,Online,L,03-02-2017,761985347,13-02-2017,2316,255.28,159.42,591228.48,369216.72,222011.76
Australia and Oceania,Fiji,Clothes,Online,C,07-11-2017,687090200,12-11-2017,8116,109.28,35.84,886916.48,290877.44,596039.04
Europe,Germany,Household,Online,L,18-06-2011,416794848,28-06-2011,9062,668.27,502.54,6055862.74,4554017.48,1501845.26
South America,Brazil,Vegetables,Offline,L,07-01-2015,457829620,11-01-2015,8739,154.06,90.93,1346330.34,794637.27,551693.07
Europe,Spain,Clothes,Offline,M,03-03-2011,597013805,09-03-2011,3487,109.28,35.84,381059.36,124974.08,256085.28
Europe,Germany,Cereal,Offline,H,13-07-2012,881864620,15-07-2012,7255,205.7,117.11,1492353.5,849633.05,642720.45
Australia and Oceania,Fiji,Snacks,Online,L,16-02-2014,435692736,17-02-2014,288,152.58,97.44,43943.04,28062.72,15880.32
South America,Brazil,Baby Food,Offline,C,19-12-2017,636374998,23-12-2017,7955,255.28,159.42,2030752.4,1268186.1,762566.3
North America,Canada,Personal Care,Online,C,30-04-2017,259406944,05-05-2017,7218,81.73,56.67,589927.14,409044.06,180883.08
Europe,Spain,Snacks,Offline,C,17-10-2011,979258542,27-10-2011,3719,152.58,97.44,567445.02,362379.36,205065.66
Europe,Italy,Clothes,Offline,L,12-01-2013,988592520,18-01-2013,7430,109.28,35.84,811950.4,266291.2,545659.2
North America,Mexico,Clothes,Offline,H,06-07-2013,361569710,07-07-2013,927,109.28,35.84,101302.56,33223.68,68078.88
Europe,Italy,Snacks,Offline,M,29-10-2011,711380112,02-11-2011,8412,152.58,97.44,1283502.96,819665.28,463837.68
Europe,Spain,Household,Online,M,23-07-2016,608841104,02-08-2016,8810,668.27,502.54,5887458.7,4427377.4,1460081.3
Asia,Singapore,Fruits,Offline,L,18-01-2017,790165098,24-01-2017,9152,9.33,6.92,85388.16,63331.84,22056.32
North America,United States,Beverages,Offline,M,12-12-2013,805115965,15-12-2013,2158,47.45,31.79,102397.1,68602.82,33794.28
Australia and Oceania,Australia,Cosmetics,Offline,H,29-05-2010,824288364,02-06-2010,1564,437.2,263.33,683780.8,411848.12,271932.68
Asia,Singapore,Baby Food,Online,L,21-08-2017,904156026,27-08-2017,7856,255.28,159.42,2005479.68,1252403.52,753076.16
South America,Brazil,Personal Care,Online,M,23-10-2014,190822946,28-10-2014,4351,81.73,56.67,355607.23,246571.17,109036.06
Asia,China,Fruits,Offline,H,24-07-2016,990708022,01-08-2016,2242,9.33,6.92,20917.86,15514.64,5403.22
Africa,Nigeria,Clothes,Online,C,28-07-2017,519882787,06-08-2017,7876,109.28,35.84,860689.28,282275.84,578413.44
Australia and Oceania,New Zealand,Snacks,Offline,C,16-10-2011,706785261,26-10-2011,3580,152.58,97.44,546236.4,348835.2,197401.2
Asia,Singapore,Office Supplies,Offline,L,11-08-2015,209519967,16-08-2015,6906,651.21,524.96,4497256.26,3625373.76,871882.5
North America,Canada,Personal Care,Offline,M,15-07-2012,207114384,24-07-2012,3872,81.73,56.67,316458.56,219426.24,97032.32
Asia,China,Baby Food,Offline,C,02-05-2014,873001636,05-05-2014,5611,255.28,159.42,1432376.08,894505.62,537870.46
Africa,Kenya,Personal Care,Offline,C,29-09-2012,762449472,30-09-2012,8088,81.73,56.67,661032.24,458346.96,202685.28
Africa,Egypt,Cereal,Offline,M,07-09-2011,974793933,17-09-2011,377,205.7,117.11,77548.9,44150.47,33398.43
South America,Argentina,Beverages,Online,L,29-05-2015,162762562,07-06-2015,9500,47.45,31.79,450775,302005,148770
Australia and Oceania,Australia,Fruits,Offline,L,16-11-2016,125428321,26-11-2016,4413,9.33,6.92,41173.29,30537.96,10635.33
South America,Argentina,Cosmetics,Online,H,08-05-2013,646816477,17-05-2013,7467,437.2,263.33,3264572.4,1966285.11,1298287.29
North America,Canada,Beverages,Offline,C,08-11-2013,967271582,10-11-2013,6767,47.45,31.79,321094.15,215122.93,105971.22
South America,Brazil,Clothes,Offline,H,20-05-2015,303640345,27-05-2015,3818,109.28,35.84,417231.04,136837.12,280393.92
North America,Mexico,Snacks,Online,C,30-09-2011,654632518,03-10-2011,4616,152.58,97.44,704309.28,449783.04,254526.24
Africa,Kenya,Vegetables,Online,C,14-06-2012,729354616,16-06-2012,6213,154.06,90.93,957174.78,564948.09,392226.69
Australia and Oceania,Australia,Beverages,Offline,H,19-02-2012,636919488,24-02-2012,4011,47.45,31.79,190321.95,127509.69,62812.26
Asia,China,Clothes,Offline,C,24-07-2010,740030174,25-07-2010,7159,109.28,35.84,782335.52,256578.56,525756.96
Australia and Oceania,New Zealand,Office Supplies,Online,H,07-01-2014,480087729,09-01-2014,553,651.21,524.96,360119.13,290302.88,69816.25
North America,Canada,Baby Food,Offline,H,13-11-2010,950595751,17-11-2010,6164,255.28,159.42,1573545.92,982664.88,590881.04
Africa,Kenya,Cereal,Online,L,25-02-2012,424071677,02-03-2012,5309,205.7,117.11,1092061.3,621736.99,470324.31
North America,United States,Fruits,Offline,M,08-05-2015,399696647,10-05-2015,3367,9.33,6.92,31414.11,23299.64,8114.47
Africa,Nigeria,Office Supplies,Offline,C,09-11-2014,348334960,18-11-2014,7995,651.21,524.96,5206423.95,4197055.2,1009368.75
Asia,India,Household,Online,H,28-12-2014,999746930,30-12-2014,4326,668.27,502.54,2890936.02,2173988.04,716947.98
South America,Brazil,Personal Care,Offline,L,12-09-2013,770041156,19-09-2013,8690,81.73,56.67,710233.7,492462.3,217771.4
Asia,Japan,Clothes,Offline,M,16-07-2016,324761655,22-07-2016,8611,109.28,35.84,941010.08,308618.24,632391.84
South America,Argentina,Cereal,Online,L,23-11-2011,745735141,03-12-2011,3927,205.7,117.11,807783.9,459890.97,347892.93
Asia,China,Beverages,Online,H,18-10-2013,579559380,19-10-2013,3548,47.45,31.79,168352.6,112790.92,55561.68
Asia,Singapore,Beverages,Online,H,30-10-2014,458545254,09-11-2014,1219,47.45,31.79,57841.55,38752.01,19089.54
Asia,Japan,Vegetables,Offline,M,14-01-2012,424968962,23-01-2012,2754,154.06,90.93,424281.24,250421.22,173860.02
Africa,Libya,Baby Food,Offline,M,27-09-2017,601900759,02-10-2017,7928,255.28,159.42,2023859.84,1263881.76,759978.08
North America,Canada,Household,Online,L,12-03-2012,685486767,14-03-2012,7956,668.27,502.54,5316756.12,3998208.24,1318547.88
Africa,Egypt,Baby Food,Offline,M,07-11-2016,644792350,09-11-2016,6761,255.28,159.42,1725948.08,1077838.62,648109.46
Australia and Oceania,Fiji,Cereal,Offline,L,30-10-2013,866564347,02-11-2013,7652,205.7,117.11,1574016.4,896125.72,677890.68
North America,Mexico,Cosmetics,Online,L,23-10-2015,689997005,02-11-2015,6462,437.2,263.33,2825186.4,1701638.46,1123547.94
Asia,Japan,Snacks,Offline,M,07-03-2017,635499532,09-03-2017,9506,152.58,97.44,1450425.48,926264.64,524160.84
Asia,India,Cereal,Online,H,02-02-2014,790097609,08-02-2014,8121,205.7,117.11,1670489.7,951050.31,719439.39
South America,Argentina,Office Supplies,Offline,L,21-01-2014,640877135,27-01-2014,8464,651.21,524.96,5511841.44,4443261.44,1068580
Europe,Spain,Household,Online,H,11-03-2017,684233652,21-03-2017,6529,668.27,502.54,4363134.83,3281083.66,1082051.17
Australia and Oceania,Australia,Personal Care,Online,M,25-10-2012,312973495,30-10-2012,5682,81.73,56.67,464389.86,321998.94,142390.92
Asia,Singapore,Baby Food,Online,L,04-09-2017,284556070,08-09-2017,7504,255.28,159.42,1915621.12,1196287.68,719333.44
Europe,Italy,Office Supplies,Offline,C,26-09-2015,914604490,30-09-2015,5169,651.21,524.96,3366104.49,2713518.24,652586.25
South America,Brazil,Household,Online,C,05-07-2015,960122977,14-07-2015,574,668.27,502.54,383586.98,288457.96,95129.02
Africa,Egypt,Household,Online,L,30-03-2017,748975739,02-04-2017,3217,668.27,502.54,2149824.59,1616671.18,533153.41
Asia,Japan,Office Supplies,Offline,C,09-02-2014,483387811,11-02-2014,883,651.21,524.96,575018.43,463539.68,111478.75
South America,Argentina,Fruits,Online,L,19-04-2012,949755301,20-04-2012,4746,9.33,6.92,44280.18,32842.32,11437.86
North America,Mexico,Fruits,Online,M,04-03-2010,952206915,12-03-2010,2963,9.33,6.92,27644.79,20503.96,7140.83
Asia,Japan,Cereal,Offline,C,14-08-2012,848941498,17-08-2012,8773,205.7,117.11,1804606.1,1027406.03,777200.07
Europe,France,Fruits,Online,L,25-05-2010,142198826,27-05-2010,480,9.33,6.92,4478.4,3321.6,1156.8
Australia and Oceania,New Zealand,Personal Care,Online,C,05-02-2011,122097114,14-02-2011,4089,81.73,56.67,334193.97,231723.63,102470.34
Europe,Italy,Office Supplies,Offline,L,23-05-2010,206213458,30-05-2010,312,651.21,524.96,203177.52,163787.52,39390
North America,United States,Clothes,Offline,L,13-01-2012,572775037,19-01-2012,9462,109.28,35.84,1034007.36,339118.08,694889.28
Africa,Kenya,Fruits,Online,L,02-10-2016,687751871,08-10-2016,4816,9.33,6.92,44933.28,33326.72,11606.56
Australia and Oceania,New Zealand,Cosmetics,Online,L,17-07-2010,240818524,20-07-2010,2605,437.2,263.33,1138906,685974.65,452931.35
Asia,Japan,Cosmetics,Online,M,08-08-2014,607340307,18-08-2014,4038,437.2,263.33,1765413.6,1063326.54,702087.06
Asia,China,Personal Care,Offline,C,22-05-2013,919460285,30-05-2013,7375,81.73,56.67,602758.75,417941.25,184817.5
Asia,China,Household,Offline,L,11-01-2016,581771617,20-01-2016,8994,668.27,502.54,6010420.38,4519844.76,1490575.62
North America,Mexico,Fruits,Offline,L,24-03-2017,136035850,29-03-2017,3944,9.33,6.92,36797.52,27292.48,9505.04
Asia,India,Clothes,Online,H,03-10-2016,169008053,13-10-2016,4680,109.28,35.84,511430.4,167731.2,343699.2
Africa,Egypt,Cereal,Online,H,01-06-2013,417973012,06-06-2013,5130,205.7,117.11,1055241,600774.3,454466.7
Australia and Oceania,New Zealand,Fruits,Online,L,31-10-2015,366197546,08-11-2015,6161,9.33,6.92,57482.13,42634.12,14848.01
Asia,China,Personal Care,Offline,L,28-01-2017,796275599,05-02-2017,1511,81.73,56.67,123494.03,85628.37,37865.66
Africa,Nigeria,Personal Care,Offline,H,26-07-2012,336196579,02-08-2012,2561,81.73,56.67,209310.53,145131.87,64178.66
South America,Brazil,Baby Food,Online,C,13-02-2012,745595350,21-02-2012,975,255.28,159.42,248898,155434.5,93463.5
North America,Canada,Office Supplies,Online,C,07-01-2012,508986302,13-01-2012,9054,651.21,524.96,5896055.34,4752987.84,1143067.5
Europe,France,Beverages,Online,L,31-01-2015,322183505,09-02-2015,3870,47.45,31.79,183631.5,123027.3,60604.2
Africa,Kenya,Clothes,Offline,M,03-05-2012,261233666,06-05-2012,6815,109.28,35.84,744743.2,244249.6,500493.6
Africa,Libya,Personal Care,Online,M,03-04-2015,739055197,11-04-2015,6037,81.73,56.67,493404.01,342116.79,151287.22
Asia,Singapore,Baby Food,Offline,H,07-10-2015,908924925,14-10-2015,3692,255.28,159.42,942493.76,588578.64,353915.12
South America,Brazil,Household,Online,M,30-04-2013,619479722,02-05-2013,4970,668.27,502.54,3321301.9,2497623.8,823678.1
Europe,Italy,Vegetables,Offline,H,24-10-2014,908422280,27-10-2014,6591,154.06,90.93,1015409.46,599319.63,416089.83
Australia and Oceania,Australia,Baby Food,Offline,C,15-08-2013,557443783,16-08-2013,5896,255.28,159.42,1505130.88,939940.32,565190.56
South America,Chile,Cosmetics,Offline,C,09-07-2015,372118370,10-07-2015,5868,437.2,263.33,2565489.6,1545220.44,1020269.16
South America,Argentina,Fruits,Offline,L,06-06-2014,758751154,12-06-2014,2365,9.33,6.92,22065.45,16365.8,5699.65
North America,Canada,Personal Care,Offline,L,14-04-2010,851786504,23-04-2010,8534,81.73,56.67,697483.82,483621.78,213862.04
North America,United States,Household,Online,M,15-07-2017,263691173,23-07-2017,5000,668.27,502.54,3341350,2512700,828650
Australia and Oceania,Australia,Personal Care,Offline,L,19-08-2017,327987376,26-08-2017,1852,81.73,56.67,151363.96,104952.84,46411.12
South America,Brazil,Clothes,Offline,C,27-04-2011,961543600,28-04-2011,7414,109.28,35.84,810201.92,265717.76,544484.16
Australia and Oceania,Fiji,Cereal,Online,H,16-11-2014,263146018,24-11-2014,3008,205.7,117.11,618745.6,352266.88,266478.72
North America,Mexico,Vegetables,Online,H,21-10-2012,108373508,30-10-2012,7823,154.06,90.93,1205211.38,711345.39,493865.99
Australia and Oceania,New Zealand,Baby Food,Offline,H,13-06-2013,646615068,21-06-2013,8014,255.28,159.42,2045813.92,1277591.88,768222.04
Europe,Germany,Personal Care,Offline,H,05-12-2017,969725270,11-12-2017,250,81.73,56.67,20432.5,14167.5,6265
North America,United States,Cereal,Online,M,22-02-2010,942593996,27-02-2010,5634,205.7,117.11,1158913.8,659797.74,499116.06
North America,United States,Fruits,Offline,L,17-08-2011,892364547,26-08-2011,3884,9.33,6.92,36237.72,26877.28,9360.44
Africa,Egypt,Cosmetics,Offline,M,12-09-2012,219994245,13-09-2012,6595,437.2,263.33,2883334,1736661.35,1146672.65
Australia and Oceania,Fiji,Baby Food,Offline,L,04-04-2015,345396285,09-04-2015,3517,255.28,159.42,897819.76,560680.14,337139.62
North America,Mexico,Snacks,Online,H,18-01-2015,555848769,23-01-2015,7374,152.58,97.44,1125124.92,718522.56,406602.36
Africa,Libya,Personal Care,Offline,H,07-12-2015,326214110,08-12-2015,7835,81.73,56.67,640354.55,444009.45,196345.1
North America,Canada,Cereal,Offline,L,30-08-2010,337043715,06-09-2010,8981,205.7,117.11,1847391.7,1051764.91,795626.79
South America,Chile,Baby Food,Offline,M,29-04-2013,618572123,03-05-2013,6027,255.28,159.42,1538572.56,960824.34,577748.22
Asia,China,Household,Online,C,20-02-2016,512778023,27-02-2016,2735,668.27,502.54,1827718.45,1374446.9,453271.55
Asia,Japan,Cosmetics,Offline,M,23-09-2012,916956264,29-09-2012,7177,437.2,263.33,3137784.4,1889919.41,1247864.99
Australia and Oceania,New Zealand,Beverages,Offline,M,19-09-2011,431713196,28-09-2011,3231,47.45,31.79,153310.95,102713.49,50597.46
Asia,China,Personal Care,Offline,M,01-05-2015,258866322,08-05-2015,6196,81.73,56.67,506399.08,351127.32,155271.76
South America,Chile,Cereal,Online,M,26-03-2010,811710560,30-03-2010,8958,205.7,117.11,1842660.6,1049071.38,793589.22
Africa,Kenya,Cosmetics,Online,C,21-01-2010,906614612,24-01-2010,3842,437.2,263.33,1679722.4,1011713.86,668008.54
South America,Argentina,Baby Food,Offline,C,31-03-2016,415193148,02-04-2016,621,255.28,159.42,158528.88,98999.82,59529.06
South America,Brazil,Office Supplies,Offline,H,20-02-2016,913646436,25-02-2016,7634,651.21,524.96,4971337.14,4007544.64,963792.5
Europe,Germany,Snacks,Online,H,04-04-2015,642198857,13-04-2015,7874,152.58,97.44,1201414.92,767242.56,434172.36
Australia and Oceania,Fiji,Household,Offline,M,18-05-2010,314794897,21-05-2010,8890,668.27,502.54,5940920.3,4467580.6,1473339.7
South America,Argentina,Personal Care,Offline,H,01-03-2012,347156768,04-03-2012,5288,81.73,56.67,432188.24,299670.96,132517.28
Asia,China,Baby Food,Online,L,20-10-2013,766508599,25-10-2013,4206,255.28,159.42,1073707.68,670520.52,403187.16
Australia and Oceania,Fiji,Personal Care,Offline,L,31-12-2011,852883605,06-01-2012,7270,81.73,56.67,594177.1,411990.9,182186.2
Africa,Egypt,Cosmetics,Online,C,01-03-2014,268456254,11-03-2014,7446,437.2,263.33,3255391.2,1960755.18,1294636.02
South America,Brazil,Cosmetics,Online,L,21-09-2013,201996264,26-09-2013,3609,437.2,263.33,1577854.8,950357.97,627496.83
Africa,Nigeria,Office Supplies,Offline,L,10-11-2016,810372064,15-11-2016,656,651.21,524.96,427193.76,344373.76,82820
Australia and Oceania,Australia,Office Supplies,Offline,C,22-06-2014,213777087,25-06-2014,4514,651.21,524.96,2939561.94,2369669.44,569892.5
Africa,Kenya,Personal Care,Online,H,15-11-2011,580084694,19-11-2011,9423,81.73,56.67,770141.79,534001.41,236140.38
